Cus_ID,Sex,Age,Income,Rating
301219,M,23,53667,150
301220,F,32,50420,106
301221,M,23,62896,10
301222,M,32,55306,22
301223,F,34,20634,117
301224,M,43,49145,6
301225,F,43,42172,123
301226,M,22,68514,133
301227,F,34,31467,108
301228,M,23,64190,62
301229,F,29,35638,125
301230,M,28,56731,73
301231,F,27,29030,44
301232,M,25,55384,66
301233,F,26,59760,30
301234,M,38,63050,38
301235,F,23,59641,128
301236,F,21,67612,130
301237,M,21,21739,59
301238,M,22,68760,42
301239,M,20,30865,3
301240,F,31,25332,30
301241,F,32,41450,57
301242,M,33,22706,97
301243,F,30,37033,75
301244,M,39,62586,16
301245,F,37,55380,9
301246,M,35,55668,131
301247,F,30,63072,149
301248,M,31,34530,48
301249,F,29,60639,76
301250,M,28,28599,105
301251,M,35,27616,76
301252,M,22,68128,54
301253,F,20,69303,145
301254,M,23,25933,144
301255,F,21,21401,122
301256,M,27,48573,71
301257,F,28,27217,121
301258,M,23,61306,132
301259,F,29,69445,14
301260,M,36,57016,34
301261,F,39,39618,145
301262,M,31,47153,54
301263,F,37,39105,84
301264,M,39,33744,61
301265,F,20,54522,70
301266,M,29,56903,148
301267,F,35,31684,56
301268,M,23,26137,84
301269,F,34,25611,48
301270,M,34,47916,9
301271,F,23,31957,16
301272,M,34,56406,55
301273,F,32,64215,73
301274,M,23,21898,120
301275,F,19,25627,59
301276,M,19,24906,41
301277,M,23,69893,9
301278,M,24,67826,121
301279,M,25,54633,101
301280,M,26,46834,128
301281,M,27,37842,4
301282,M,28,24960,27
301283,M,29,68340,12
301284,F,20,35198,130
301285,F,39,65963,135
301286,F,38,26753,97
301287,M,34,59785,69
301288,F,35,41137,47
301289,M,36,51049,51
301290,F,37,32982,101
301291,M,38,68751,62
301292,F,32,51689,113
301293,M,32,31449,146
301294,F,20,24039,18
301295,M,27,43782,129
301296,F,39,52452,113
301297,M,25,24042,30
301298,F,26,57075,128
301299,M,27,44415,116
301300,F,28,68328,30
301301,M,26,40666,81
301302,F,25,22982,149
301303,M,26,42211,117
301304,F,27,58623,23
301305,F,28,24595,42
301306,F,25,67837,80
301307,F,27,36804,57
301308,M,28,37912,136
301309,F,29,44612,17
301310,M,24,66740,105
301311,F,23,60473,21
301312,M,29,25871,128
301313,F,29,66231,80
301314,M,29,26141,97
301315,F,29,62556,29
301316,M,23,50548,108
301317,F,23,37772,120
301318,M,23,42904,142
301319,F,23,41401,31
301320,M,23,48244,124
301321,F,23,67628,66
301322,M,23,39175,48
301323,M,23,37337,141
301324,F,33,62319,113
301325,M,43,53930,80
301326,F,42,62673,136
301327,M,45,54187,53
301328,F,46,44025,103
301329,F,47,20159,19
301330,F,45,57864,122
301331,M,34,34235,131
301332,M,43,62273,51
301333,F,34,61275,27
301334,M,43,67593,46
301335,F,45,43288,34
301336,M,54,42044,115
301337,F,45,47323,110
301338,M,54,60395,118
301339,F,56,54465,91
301340,M,45,64343,20
301341,M,34,55900,79
301342,M,43,38131,80
301343,M,34,48180,128
301344,F,43,53120,106
301345,F,34,56024,146
301346,F,43,56376,43
301347,M,43,36775,48
301348,F,43,60282,117
301349,M,43,45840,79
301350,F,43,33945,52
301351,M,43,68915,17
301352,F,43,20651,86
301353,M,43,59802,57
301354,F,43,33960,88
301355,M,43,46748,19
301356,F,23,58639,67
301357,M,23,20509,119
301358,F,23,69172,36
301359,M,23,56407,41
301360,F,23,58351,120
301361,M,23,29065,58
301362,F,23,33322,72
301363,M,23,30041,102
301364,F,23,46888,23
301365,M,32,49752,100
301366,F,23,53652,51
301367,F,32,49354,49
301368,M,32,23096,144
301369,F,23,59873,104
301370,M,23,35581,31
301371,F,23,29134,103
301372,M,48,65676,21
301373,F,48,43003,69
301374,F,47,41993,55
301375,F,47,55886,115
301376,F,46,22410,146
301377,F,46,46839,41
301378,F,46,52397,37
301379,F,46,37877,103
301380,F,47,25012,80
301381,F,48,31969,72
301382,F,44,49389,112
301383,F,23,65222,47
301384,F,32,20303,34
301385,F,33,62037,122
301386,F,45,45176,13
301387,M,45,56291,58
301388,M,45,49820,54
301389,F,45,43028,86
301390,M,45,21801,104
301391,F,45,62848,68
301392,F,45,38216,112
301393,M,45,49723,29
301394,F,29,64955,27
301395,M,18,56212,143
301396,F,27,30406,18
301397,F,26,53677,32
301398,F,25,62683,144
301399,F,24,54023,132
301400,F,25,36755,109
301401,M,23,43128,148
301402,M,25,24852,107
301403,F,26,42093,76
301404,M,27,38017,136
301405,F,28,25251,26
301406,M,29,56578,71
301407,F,20,69491,112
301408,M,29,45546,73
301409,F,28,28397,108
301410,M,27,66901,143
301411,F,26,25431,38
301412,M,25,68166,93
301413,F,24,69546,9
301414,M,21,28291,80
301415,F,23,61370,144
301416,M,24,30710,115
301417,F,25,55340,66
301418,M,26,41269,142
301419,F,28,64338,82
301420,M,28,21533,144
